Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_39_191.jpg;0;0;1;0;100.6979;87.15833;-0.0003512776;56.93767;-7.688099E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_39_240.jpg;0;0;0;0;100.6979;87.15833;-0.000348158;56.93767;-8.821691E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_39_298.jpg;0;0;0;0;100.6979;87.15833;-0.0003339875;56.93767;-9.681022E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_39_364.jpg;0;0;0;0;100.6979;87.15833;-0.0003098803;56.93767;-1.026283E-05
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_39_435.jpg;0;0;0;0;100.6979;87.15833;-0.000264194;56.93767;-1.078528E-05
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_39_500.jpg;0;0;0;0;100.6979;87.15833;-0.0002215625;56.93767;-1.076722E-05
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_39_566.jpg;0;0;0;0;100.6979;87.15833;-0.0001563591;56.93767;-1.028381E-05
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_39_634.jpg;0;0;0;0;100.6979;87.15833;-0.0001025783;56.93767;-9.572673E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_39_702.jpg;-1.95866;0;0;0;100.6979;87.15833;-4.630224E-05;56.82016;-8.671997E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_39_766.jpg;0;0;0;0;100.6979;87.15833;3.076938E-05;56.82016;-7.5924E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_39_833.jpg;0;0;0;0;100.6979;87.15833;8.83881E-05;56.82016;-6.629019E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_39_898.jpg;0;0;0;0;100.6979;87.15833;0.0001444378;56.82016;-5.63198E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_39_964.jpg;0;0;0;0;100.6979;87.15833;0.0001982743;56.82016;-4.681829E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_40_031.jpg;0;0;0;0;100.6979;87.15834;0.0002645978;56.82016;-3.407949E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_40_098.jpg;0;0;0;0;100.6979;87.15834;0.0003100321;56.82016;-2.288426E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_40_165.jpg;0;0;0;0;100.6979;87.15834;0.0003510705;56.82016;-1.364962E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_40_231.jpg;0;0;0;0;100.6979;87.15834;0.0003970619;56.82016;-2.465073E-07
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_40_299.jpg;0;0;0;0;100.6979;87.15834;0.0004249692;56.82016;2.726797E-07
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_40_366.jpg;0;0;0;0;100.6979;87.15834;0.0004537209;56.82016;1.321801E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_40_434.jpg;0;0;0;0;100.6979;87.15834;0.0004682882;56.82016;1.76423E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_40_500.jpg;0;0;0;0;100.6979;87.15834;0.0004773302;56.82016;2.063864E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_40_566.jpg;0;0;0;0;100.6979;87.15834;0.0004812409;56.82016;2.393734E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_40_633.jpg;0;0;0;0;100.6979;87.15834;0.0004785119;56.82016;2.582933E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_40_699.jpg;0;0.1998725;0;0;100.6978;87.15816;-0.004378135;56.81821;1.471488E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_40_765.jpg;0;0.3963672;0;0.01316612;100.6984;87.15909;0.01965936;56.81413;-2.858516E-05
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_40_834.jpg;0;0.3864136;0;0.02923883;100.701;87.16316;0.1213869;57.09473;-0.000454432
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_40_900.jpg;0;0.1911135;0;0.06764884;100.7041;87.16785;0.2293832;57.33467;-0.00134373
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_40_966.jpg;0;0;0;0.05928398;100.7083;87.17446;0.3632932;57.21547;-0.0008958466
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_41_033.jpg;0;0;0;0.06935675;100.7112;87.17896;0.4310769;57.21543;-0.0001817655
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_41_099.jpg;0;0.1014156;0;0.0696775;100.7141;87.18327;0.4773602;57.20103;-8.191175E-06
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_41_166.jpg;0;0.3003044;0;0.07397199;100.7178;87.18906;0.5163814;56.99782;0.0005240915
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_41_234.jpg;0;0.500813;0;0.1018302;100.7216;87.19498;0.567045;57.08605;-8.75561E-05
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_41_300.jpg;0;0.3020759;0;0.1203368;100.7263;87.20219;0.6300792;57.0802;0.0003143544
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_41_366.jpg;0;0.101259;0;0.1329183;100.7331;87.21257;0.6999973;57.05252;-0.0006547999
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_41_433.jpg;0;0;0;0.1346959;100.7377;87.21976;0.7133401;57.04899;-7.991408E-05
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_41_499.jpg;0;0.1001582;0;0.1409886;100.7424;87.22697;0.7115959;57.04833;-8.986661E-05
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_41_565.jpg;0;0.302156;0;0.1536142;100.7471;87.23405;0.692404;56.95198;0.00101285
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_41_633.jpg;0;0.1058438;0;0.169157;100.7541;87.24483;0.6796663;56.98487;-7.683169E-05
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_41_700.jpg;0;0;0;0.1662824;100.7592;87.25266;0.6492878;56.8134;0.001380721
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_41_766.jpg;0;0;0;0.1637941;100.7657;87.26263;0.5813243;56.81164;0.0005524866
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_41_833.jpg;0;0;0;0.1635014;100.7704;87.26987;0.5153485;56.81164;-3.716733E-05
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_41_899.jpg;0;0.09984874;0;0.1630505;100.7753;87.27723;0.4473025;56.81165;-0.0005727395
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_41_967.jpg;0;0.3005719;0;0.1746148;100.7821;87.28763;0.3671046;56.72256;-0.0006299845
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_42_033.jpg;0;0.1017226;0;0.1864004;100.788;87.29668;0.3357802;56.91132;-0.002512886
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_42_099.jpg;0;0;0;0.200263;100.7938;87.30556;0.2946913;56.88124;-0.00214308
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_42_166.jpg;0;0.1003036;0;0.1870874;100.8015;87.31736;0.236297;56.87574;-0.002023534
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_42_233.jpg;0;0.3000751;0;0.1910303;100.8075;87.32658;0.1995826;56.64126;-0.001309343
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_42_299.jpg;0;0.4993669;0;0.2160832;100.8147;87.33749;0.2067329;56.75465;-0.002535651
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_42_366.jpg;0;0.7007496;0;0.235044;100.8262;87.35503;0.2848914;56.60035;-0.002406211
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_42_433.jpg;0;0.9000168;0;0.2691818;100.8368;87.3711;0.4083741;56.37325;-0.001991824
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_42_499.jpg;0;1;0;0.3428043;100.8501;87.39103;0.6038957;56.30384;-0.0004556336
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_42_567.jpg;0;1;0;0.3891946;100.8707;87.42187;0.9043882;56.29491;-9.648843E-05
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_42_633.jpg;0;1;0;0.4269187;100.8884;87.44814;1.149777;56.28359;-0.0005360377
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_42_700.jpg;0;1;0;0.4928499;100.9068;87.47548;1.324425;56.32396;-0.002418106
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_42_767.jpg;0;1;0;0.5580705;100.9307;87.51104;1.196176;56.38508;-0.00105883
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_42_833.jpg;0;1;0;0.6146704;100.9509;87.541;1.099018;56.30537;-0.0001042596
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_42_900.jpg;0;1;0;0.6711864;100.9734;87.57451;1.074413;56.23617;1.408974E-05
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_42_967.jpg;0;1;0;0.7326462;101.007;87.62434;1.132538;56.15071;-0.0006314355
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_033.jpg;0;1;0;0.7698328;101.0341;87.66452;1.203504;56.25116;-0.001097928
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_099.jpg;0;1;0;0.8281356;101.0626;87.70668;1.249566;56.24625;-0.001348136
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_166.jpg;0;1;0;0.8831527;101.1029;87.76644;1.248276;56.23888;-0.001043719
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_233.jpg;0;1;0;0.9431118;101.1349;87.81393;1.223236;56.23331;-0.000868032
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_301.jpg;0;1;0;0.9957712;101.1683;87.86356;1.198032;56.22721;-0.0003578627
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_366.jpg;0;1;0;1.048016;101.216;87.93427;1.224802;56.21879;-0.0009002165
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_433.jpg;0;1;0;1.105009;101.2538;87.99023;1.242203;56.20648;-0.000845221
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_500.jpg;0;1;0;1.160636;101.2926;88.04784;1.229824;56.19478;-0.0009575675
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_567.jpg;0;1;0;1.217215;101.3473;88.12881;1.22808;56.1813;-0.0008502069
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_634.jpg;0;1;0;1.26018;101.3902;88.19231;1.232385;56.14471;-0.000729825
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_700.jpg;0;1;0;1.320734;101.4347;88.25809;1.235747;56.12205;-0.0007458914
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_767.jpg;0;1;0;1.368395;101.4965;88.34941;1.240704;56.09632;-0.0008661162
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_832.jpg;0;1;0;1.41707;101.5448;88.42066;1.246459;56.08138;-0.0009530102
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_900.jpg;0;1;0;1.462956;101.5946;88.49423;1.251138;56.0661;-0.000932543
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_43_966.jpg;0;1;0;1.525615;101.6636;88.59587;1.25567;56.0529;-0.0009853848
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_033.jpg;0;1;0;1.572321;101.7172;88.6748;1.258996;56.04026;-0.0009796217
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_100.jpg;0;1;0;1.634854;101.7724;88.75603;1.263598;56.03067;-0.001018346
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_167.jpg;0;1;0;1.68113;101.8484;88.86785;1.267571;56.01606;-0.001041966
